time;lat;lon;elevation;accuracy;bearing;speed
2015-08-28T16:20:04Z;50.560199;30.327510;142.000000;3.000000;317.600006;6.350000
2015-08-28T16:20:15Z;50.560681;30.326845;144.000000;3.000000;316.200012;5.020000
2015-08-28T16:20:26Z;50.561039;30.326304;146.000000;3.000000;318.700012;6.900000
2015-08-28T16:20:37Z;50.561759;30.325132;144.000000;3.000000;311.600006;10.930000
2015-08-28T16:20:48Z;50.562530;30.323881;141.000000;3.000000;318.000000;11.640000
2015-08-28T16:20:59Z;50.563366;30.323367;141.000000;4.000000;5.700000;9.480000
2015-08-28T16:21:10Z;50.564361;30.323185;145.000000;3.000000;334.399994;10.430000
2015-08-28T16:21:21Z;50.565199;30.321965;150.000000;3.000000;301.399994;14.600000
2015-08-28T16:21:32Z;50.565872;30.320136;149.000000;3.000000;299.299988;13.070000
2015-08-28T16:21:43Z;50.566339;30.319257;149.000000;3.000000;26.100000;5.760000
2015-08-28T16:21:54Z;50.567169;30.320356;154.000000;3.000000;39.599998;13.720000
2015-08-28T16:22:04Z;50.568309;30.321840;160.000000;4.000000;41.599998;17.110001
2015-08-28T16:22:15Z;50.569603;30.323521;163.000000;5.000000;32.099998;15.940000
2015-08-28T16:22:26Z;50.571332;30.324312;161.000000;6.000000;17.900000;18.250000
2015-08-28T16:22:37Z;50.573081;30.325138;157.000000;5.000000;15.400000;18.209999
2015-08-28T16:22:48Z;50.574807;30.325516;162.000000;4.000000;2.800000;18.010000
2015-08-28T16:22:59Z;50.576580;30.325285;161.000000;10.000000;334.399994;17.510000
2015-08-28T16:23:10Z;50.578111;30.323739;168.000000;10.000000;328.899994;18.570000
2015-08-28T16:23:21Z;50.579909;30.322930;176.000000;10.000000;357.700012;18.780001
2015-08-28T16:23:32Z;50.581818;30.323456;171.000000;9.000000;10.800000;20.139999
2015-08-28T16:23:43Z;50.583876;30.323884;172.000000;11.000000;358.600006;20.799999
2015-08-28T16:23:54Z;50.586047;30.323823;168.000000;10.000000;0.700000;21.410000
2015-08-28T16:24:05Z;50.588325;30.323896;167.000000;10.000000;0.400000;23.440001
2015-08-28T16:24:16Z;50.590508;30.323993;168.000000;10.000000;1.000000;21.709999
2015-08-28T16:24:27Z;50.592505;30.323202;163.000000;9.000000;338.200012;21.290001
2015-08-28T16:24:38Z;50.594459;30.322611;162.000000;10.000000;2.100000;19.040001
2015-08-28T16:24:49Z;50.596309;30.322178;159.000000;9.000000;336.399994;18.980000
2015-08-28T16:25:00Z;50.598059;30.321334;157.000000;9.000000;352.600006;17.700001
2015-08-28T16:25:11Z;50.599627;30.321298;151.000000;9.000000;6.700000;13.020000
2015-08-28T16:25:22Z;50.600863;30.321515;148.000000;9.000000;353.799988;12.320000
2015-08-28T16:25:33Z;50.601815;30.321480;142.000000;3.000000;37.900002;9.890000
2015-08-28T16:25:44Z;50.602582;30.321047;145.000000;3.000000;310.299988;9.980000
2015-08-28T16:25:55Z;50.603286;30.319891;144.000000;3.000000;314.000000;11.100000
2015-08-28T16:26:06Z;50.603903;30.318292;142.000000;3.000000;293.700012;12.670000
2015-08-28T16:26:17Z;50.604394;30.316488;143.000000;3.000000;294.500000;12.390000
2015-08-28T16:26:28Z;50.605146;30.315128;140.000000;3.000000;311.000000;11.390000
2015-08-28T16:26:39Z;50.605585;30.313385;146.000000;11.000000;291.100006;12.510000
